STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/6/2001,57,62,52
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/7/2001,59,68,50
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/8/2001,61,74,48
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/9/2001,66,81,50
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/10/2001,74,83,65
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/11/2001,76,87,64
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/12/2001,75,86,63
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/13/2001,74,91,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/14/2001,80,91,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/15/2001,70,77,63
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/16/2001,71,86,55
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/17/2001,71,87,54
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/18/2001,78,91,64
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/19/2001,75,84,65
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/20/2001,70,76,63
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/21/2001,62,69,55
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/22/2001,60,69,51
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/23/2001,62,73,50
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/24/2001,66,81,50
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/25/2001,72,85,58
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/26/2001,74,86,61
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/27/2001,75,87,63
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/28/2001,75,86,63
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/29/2001,77,87,66
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/30/2001,78,88,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/1/2001,64,78,50
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/2/2001,64,75,49
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/3/2001,72,79,64
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/4/2001,78,88,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/5/2001,64,73,54
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/6/2001,66,81,50
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/7/2001,74,86,62
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/8/2001,79,89,68
